position,employees_total,employees_in_companies_with_1_19_employees,employees_in_companies_with_20_49_employees,employees_in_companies_with_50_99_employees,employees_in_companies_with_100_employees_and_more
"Tätige Inhaber, mithelfendeFamilienangehörige",1414,1387,18,3,6
"Kaufmännische und technischeArbeitnehmer, einschl. Azubis",6894,2541,1319,956,2078
"Poliere, Schachtmeister",3160,811,651,523,1175
"Maurer, Betonbauer, Zimmerer und übrige Facharbeiter",7891,2994,2258,1166,1473
Baumaschinenführer und  Berufskraftfahrer,1241,302,427,209,303
Fachwerker und Maschinisten,4942,1654,1222,806,1260
Gewerblich Auszubildende,892,234,160,103,395
Tätige Personen im Bauhauptgewerbe,26434,9923,6055,3766,6690
darunter  hauptsächlich auf Baustellentätige Personen (einschließlich PoliereSchachtmeister und Meister),18126,5995,4718,2807,4606
Tätige Personen in anderen Bereichen,11,–,11,–,–
