employee_size_category,companies,employees,salaries,turnover_previous_year_total,turnover_previous_year_building_industry
unter 20,611,8447,69439,1106830,1097820
20 bis 49,314,9261,84807,1310346,1305584
50 und mehr,88,11645,119301,1722001,1697548
