employee_size_category,companies,employees_in_construction_industry,salaries,working_hours,turnover_in_june,turnover_in_previous_year
unter 20,2201,9923,22656,955,115187,1241934
20 bis 49,197,6055,19446,645,110516,1207783
50 bis 99,54,3766,13462,389,107167,1030650
100 und mehr,28,6690,26611,715,168008,1895929
