position,employees_total,employees_in_companies_with_1_19_employees,employees_in_companies_with_20_49_employees,employees_in_companies_with_50_99_employees,employees_in_companies_with_100_employees_and_more
"Tätige Inhaber, mithelfendeFamilienangehörige",1404,1373,23,5,3
"Kaufmännische und technischeArbeitnehmer, einschl. Azubis",6826,2294,1335,1105,2092
"Poliere, Schachtmeister",2343,725,582,551,485
"Maurer, Betonbauer, Zimmerer und übrige Facharbeiter",8835,3088,2402,1377,1968
Baumaschinenführer und  Berufskraftfahrer,1321,325,363,361,272
Fachwerker und Maschinisten,4816,1469,1353,1068,926
Gewerblich Auszubildende,987,248,173,174,392
Tätige Personen im Bauhauptgewerbe,26532,9522,6230,4641,6138
darunter  hauptsächlich auf Baustellentätige Personen (einschließlich PoliereSchachtmeister und Meister),18302,5855,4872,3531,4043
Tätige Personen in anderen Bereichen,22,•,•,–,–
