employee_size_category,companies,employees,salaries,turnover_previous_year_total,turnover_previous_year_building_industry
unter 20,537,7497,56366,939040,929749
20 bis 49,313,9024,74751,1108194,1102344
50 und mehr,92,11157,100050,1501085,1476298
