employee_size_category,companies,employees_in_construction_industry,salaries,working_hours,turnover_in_june,turnover_in_previous_year
unter 20,2069,9522,20307,918,95136,1128045
20 bis 49,206,6231,18292,677,96783,1032392
50 bis 99,67,4641,15653,495,90587,1109338
100 und mehr,24,6138,23882,686,150270,1718275
