wz_2008,sector,companies,employees,salaries,working_hours,turnover_building_industry,turnover_previous_year_building_industry
43.2,Bauinstallation,,588,19465,171892,6497,581678
43.21,,Elektroinstallation,192,5500,47824,1909,152708
43.22,,"Gas-, Wasser-, Heizungs-, Lüftungs- u. Klimaanlageninst.",294,9223,81502,2949,271829
43.29.1,,"Dämmung gegen Kälte, Wärme,Schall und Erschütterung",43,2310,13363,829,52121
43.29.9,,Sonstige Bauinstallation a.n.g.,59,2432,29203,810,105020
43.3,Sonstiger Ausbau,,354,8213,59276,2634,242401
43.31,,"Anbringen von Stuckaturen, Gipserei und Verputzerei",88,2220,14948,650,70998
43.32,,Bautischlerei und -schlosserei,60,1188,8761,395,33823
43.33,,"Fußboden-, Fliesen-, Plattenlegerei, Tapeziererei",78,1513,10016,474,48171
43.34.1,,Maler- und Lackierergewerbe,118,2953,22327,1013,71383
43.34.2,,Glasergewerbe,8,•,•,•,•
43.39,,Sonstiger Ausbau a.n.g.,2,•,•,•,•
43.2/43.3,Ausbaugewerbe insgesamt,,942,27 678,231168,9132,824 078
Bauträger,,,,,,,
41.1,Erschließung von Grundstücken; Bauträger,,6,150,1867,x,x
