employee_size_category,companies,employees_in_construction_industry,salaries,working_hours,turnover_in_june,turnover_in_previous_year
unter 20,2105,9393,19129,876,79780,998350
20 bis 49,197,5978,17139,639,88274,928237
50 bis 99,60,4024,13365,436,91808,943190
100 und mehr,24,5945,21705,636,155218,1554607
