employee_size_category,companies,employees,salaries,turnover_previous_year_total,turnover_previous_year_building_industry
unter 20,546,7622,55461,880629,872734
20 bis 49,318,9315,72572,1191837,1186340
50 und mehr,81,10249,93624,1356535,1339514
