wz_2008,sector,working_hours_total,working_hours_in_companies_with_1_19_employees,working_hours_in_companies_with_20_49_employees,working_hours_in_companies_with_50_99_employees,working_hours_in_companies_with_100_employees_and_more
41.2,Bau von Gebäuden,746,171,196,124,254
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),•,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,•,•,•,•,•
42,Tiefbau,779,92,135,220,332
42.1,Bau von Straßen und  Bahnverkehrsstrecken,428,46,77,77,228
42.11,Bau von Straßen,254,44,53,41,115
42.12,Bau von Bahnverkehrsstrecken,165,1,21,30,113
42.13,Brücken- und Tunnelbau,9,1,3,6,–
42.2,Leitungstiefbau und Kläranlagenbau,324,41,47,141,96
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",196,26,26,88,56
42.22,Kabelnetzleitungstiefbau,128,13,21,53,40
42.9,Sonstiger Tiefbau,27,6,11,3,8
42.91,Wasserbau,9,1,7,–,–
42.99,Sonstiger Tiefbau a.n.g.,18,3,4,3,8
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,123,80,34,10,–
43.11,Abbrucharbeiten,90,61,29,–,–
43.12,Vorbereitende Baustellenarbeiten,•,•,•,•,•
43.13,Test- und Suchbohrung,•,•,•,•,•
43.9,Sonstige spezialisierte Bautätigkeiten,939,533,274,82,50
43.91,Dachdeckerei und Zimmerei,392,234,126,13,20
43.91.1,Dachdeckerei und Bauspenglerei,349,198,118,13,20
43.91.2,Zimmerei und Ingenieurholzbau,43,35,8,–,–
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,547,301,148,69,30
43.99.1,Gerüstbau,97,50,31,16,–
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",8,8,–,–,–
43.99.9,Baugewerbe a.n.g.,443,243,117,53,30
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,2587,876,639,436,636
,Wohnungsbau,1276,583,299,173,221
,Gewerblicher Bau,797,189,211,168,230
,Hochbau,285,121,105,19,40
,Tiefbau,513,67,107,148,191
,Öffentlicher und Straßenbau,513,104,129,95,186
,Hochbau,129,50,49,12,19
,Tiefbau,385,55,80,83,167
,davon:  Straßenbau,271,43,54,36,137
,sonstiger Tiefbau,114,12,26,47,30
