wz_2008,sector,companies,crafts,employees_in_construction_industry,employees_in_crafts,salaries
41.2,Bau von Gebäuden,376,306,8008,5949,24494
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),374,306,•,•,•
41.20.2,Errichtung von Fertigteilbauten,2,–,•,–,•
42,Tiefbau,204,122,7545,4049,27459
42.1,Bau von Straßen und  Bahnverkehrsstrecken,92,65,4010,1690,15673
42.11,Bau von Straßen,76,59,2060,1452,7169
42.12,Bau von Bahnverkehrsstrecken,13,5,1788,•,7916
42.13,Brücken- und Tunnelbau,3,1,162,•,588
42.2,Leitungstiefbau und Kläranlagenbau,101,52,3173,2259,10338
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",55,30,1733,1250,6091
42.22,Kabelnetzleitungstiefbau,46,22,1440,1009,4247
42.9,Sonstiger Tiefbau,11,5,362,100,1449
42.91,Wasserbau,4,1,82,•,279
42.99,Sonstiger Tiefbau a.n.g.,7,4,280,•,1170
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,190,16,1559,136,3840
43.11,Abbrucharbeiten,144,12,1077,93,2317
43.12,Vorbereitende Baustellenarbeiten,43,4,473,43,1499
43.13,Test- und Suchbohrung,3,–,9,–,24
43.9,Sonstige spezialisierte Bautätigkeiten,1733,874,9837,7054,23766
43.91,Dachdeckerei und Zimmerei,489,416,3618,3418,9410
43.91.1,Dachdeckerei und Bauspenglerei,377,332,3169,3032,8410
43.91.2,Zimmerei und Ingenieurholzbau,112,84,449,386,1000
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,1244,458,6219,3636,14356
43.99.1,Gerüstbau,74,65,985,901,2766
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",21,20,98,95,241
43.99.9,Baugewerbe a.n.g.,1149,373,5136,2640,11349
