employee_size_category,companies,employees_in_construction_industry,salaries,working_hours,turnover_in_june,turnover_in_previous_year
unter 20,2206,9793,21638,924,103523,1190951
20 bis 49,207,6360,18551,642,99755,1029068
50 bis 99,65,4527,15310,466,109644,1028119
100 und mehr,25,6269,24060,635,142923,1604281
