wz_2008,sector,working_hours_total,working_hours_in_companies_with_1_19_employees,working_hours_in_companies_with_20_49_employees,working_hours_in_companies_with_50_99_employees,working_hours_in_companies_with_100_employees_and_more
41.2,Bau von Gebäuden,735,184,192,125,234
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),•,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,•,•,•,•,•
42,Tiefbau,819,96,143,242,336
42.1,Bau von Straßen und  Bahnverkehrsstrecken,417,45,69,78,226
42.11,Bau von Straßen,245,42,53,37,113
42.12,Bau von Bahnverkehrsstrecken,161,•,•,•,•
42.13,Brücken- und Tunnelbau,12,•,•,•,•
42.2,Leitungstiefbau und Kläranlagenbau,371,45,68,154,103
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",203,26,42,80,54
42.22,Kabelnetzleitungstiefbau,168,19,26,74,49
42.9,Sonstiger Tiefbau,30,6,•,•,•
42.91,Wasserbau,9,4,•,•,•
42.99,Sonstiger Tiefbau a.n.g.,21,2,–,•,•
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,145,82,32,•,•
43.11,Abbrucharbeiten,97,60,32,•,•
43.12,Vorbereitende Baustellenarbeiten,47,•,–,•,•
43.13,Test- und Suchbohrung,1,•,–,•,•
43.9,Sonstige spezialisierte Bautätigkeiten,969,562,275,85,47
43.91,Dachdeckerei und Zimmerei,372,232,120,•,•
43.91.1,Dachdeckerei und Bauspenglerei,324,191,•,•,•
43.91.2,Zimmerei und Ingenieurholzbau,48,•,•,•,•
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,597,330,155,•,•
43.99.1,Gerüstbau,99,•,•,•,•
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",8,•,•,•,•
43.99.9,Baugewerbe a.n.g.,490,272,110,•,•
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,2668,924,642,466,635
,Wohnungsbau,1229,611,305,115,198
,Gewerblicher Bau,924,222,186,256,261
,Hochbau,367,145,106,69,47
,Tiefbau,557,77,80,187,213
,Öffentlicher und Straßenbau,514,91,151,96,175
,Hochbau,125,36,61,•,•
,Tiefbau,388,55,91,•,•
,davon:  Straßenbau,279,43,57,35,144
,sonstiger Tiefbau,109,12,34,46,18
